starttime	seconds	ctime	dtime	ttime	wait
Tue Aug 03 16:32:04 2021	1627975924	0	768	768	767
Tue Aug 03 16:32:07 2021	1627975927	0	768	768	767
Tue Aug 03 16:32:09 2021	1627975929	0	768	768	767
Tue Aug 03 16:32:05 2021	1627975925	0	768	768	765
Tue Aug 03 16:32:11 2021	1627975931	0	768	768	767
Tue Aug 03 16:32:13 2021	1627975933	0	768	768	768
Tue Aug 03 16:32:05 2021	1627975925	0	768	768	767
Tue Aug 03 16:32:03 2021	1627975923	0	768	768	768
Tue Aug 03 16:32:01 2021	1627975921	0	768	768	768
Tue Aug 03 16:32:14 2021	1627975934	0	768	768	768
Tue Aug 03 16:32:08 2021	1627975928	0	768	769	768
Tue Aug 03 16:32:12 2021	1627975932	0	768	769	768
Tue Aug 03 16:32:02 2021	1627975922	0	769	769	768
Tue Aug 03 16:32:01 2021	1627975921	0	769	769	768
Tue Aug 03 16:32:11 2021	1627975931	0	768	769	768
Tue Aug 03 16:32:05 2021	1627975925	1	768	769	767
Tue Aug 03 16:32:11 2021	1627975931	0	769	769	768
Tue Aug 03 16:32:06 2021	1627975926	0	768	769	768
Tue Aug 03 16:32:03 2021	1627975923	0	768	769	767
Tue Aug 03 16:32:14 2021	1627975934	0	769	769	766
Tue Aug 03 16:32:12 2021	1627975932	0	769	769	768
Tue Aug 03 16:32:12 2021	1627975932	0	769	769	768
Tue Aug 03 16:32:03 2021	1627975923	0	769	769	768
Tue Aug 03 16:32:03 2021	1627975923	1	768	769	767
Tue Aug 03 16:32:06 2021	1627975926	0	769	769	768
Tue Aug 03 16:32:01 2021	1627975921	0	769	769	768
Tue Aug 03 16:32:10 2021	1627975930	0	769	769	769
Tue Aug 03 16:32:04 2021	1627975924	0	769	769	769
Tue Aug 03 16:32:02 2021	1627975922	0	769	769	769
Tue Aug 03 16:32:06 2021	1627975926	0	769	769	768
Tue Aug 03 16:32:03 2021	1627975923	0	769	769	769
Tue Aug 03 16:32:13 2021	1627975933	0	769	769	769
Tue Aug 03 16:32:05 2021	1627975925	0	769	769	769
Tue Aug 03 16:32:12 2021	1627975932	0	769	770	769
Tue Aug 03 16:32:09 2021	1627975929	0	769	770	769
Tue Aug 03 16:32:09 2021	1627975929	0	770	770	769
Tue Aug 03 16:32:02 2021	1627975922	0	770	770	769
Tue Aug 03 16:32:02 2021	1627975922	0	770	770	769
Tue Aug 03 16:32:02 2021	1627975922	0	770	770	769
Tue Aug 03 16:32:05 2021	1627975925	0	770	770	770
Tue Aug 03 16:32:08 2021	1627975928	0	770	770	769
Tue Aug 03 16:31:59 2021	1627975919	2	769	771	768
Tue Aug 03 16:32:03 2021	1627975923	0	770	771	770
Tue Aug 03 16:32:01 2021	1627975921	0	770	771	768
Tue Aug 03 16:32:10 2021	1627975930	0	770	771	770
Tue Aug 03 16:32:05 2021	1627975925	0	771	771	770
Tue Aug 03 16:32:11 2021	1627975931	0	771	771	769
Tue Aug 03 16:32:09 2021	1627975929	0	771	771	770
Tue Aug 03 16:32:02 2021	1627975922	0	771	771	770
Tue Aug 03 16:32:06 2021	1627975926	0	771	771	770
Tue Aug 03 16:32:04 2021	1627975924	0	771	771	770
Tue Aug 03 16:32:11 2021	1627975931	0	771	771	770
Tue Aug 03 16:32:08 2021	1627975928	0	771	771	770
Tue Aug 03 16:32:13 2021	1627975933	0	771	772	771
Tue Aug 03 16:32:02 2021	1627975922	0	772	772	771
Tue Aug 03 16:32:06 2021	1627975926	0	772	772	771
Tue Aug 03 16:32:11 2021	1627975931	0	772	772	771
Tue Aug 03 16:32:02 2021	1627975922	0	772	772	764
Tue Aug 03 16:32:11 2021	1627975931	0	772	772	770
Tue Aug 03 16:32:10 2021	1627975930	0	772	772	771
Tue Aug 03 16:32:09 2021	1627975929	0	772	772	771
Tue Aug 03 16:32:03 2021	1627975923	0	772	772	771
Tue Aug 03 16:32:11 2021	1627975931	0	772	772	770
Tue Aug 03 16:32:14 2021	1627975934	0	772	772	772
Tue Aug 03 16:32:01 2021	1627975921	0	772	772	772
Tue Aug 03 16:32:08 2021	1627975928	0	772	772	772
Tue Aug 03 16:32:14 2021	1627975934	0	772	772	772
Tue Aug 03 16:32:13 2021	1627975933	0	772	772	772
Tue Aug 03 16:32:11 2021	1627975931	0	772	772	772
Tue Aug 03 16:32:12 2021	1627975932	0	772	772	772
Tue Aug 03 16:32:02 2021	1627975922	0	772	772	771
Tue Aug 03 16:32:02 2021	1627975922	0	772	773	772
Tue Aug 03 16:32:13 2021	1627975933	0	772	773	772
Tue Aug 03 16:32:02 2021	1627975922	0	772	773	772
Tue Aug 03 16:32:13 2021	1627975933	0	773	773	772
Tue Aug 03 16:32:12 2021	1627975932	0	773	773	772
Tue Aug 03 16:32:03 2021	1627975923	0	773	773	772
Tue Aug 03 16:32:07 2021	1627975927	1	772	773	772
Tue Aug 03 16:32:03 2021	1627975923	0	773	773	772
Tue Aug 03 16:32:05 2021	1627975925	0	773	773	772
Tue Aug 03 16:32:11 2021	1627975931	0	773	773	772
Tue Aug 03 16:32:11 2021	1627975931	0	773	773	772
Tue Aug 03 16:32:12 2021	1627975932	0	773	773	773
Tue Aug 03 16:32:14 2021	1627975934	0	773	773	772
Tue Aug 03 16:32:13 2021	1627975933	0	773	773	772
Tue Aug 03 16:32:02 2021	1627975922	0	773	773	772
Tue Aug 03 16:32:05 2021	1627975925	0	773	773	773
Tue Aug 03 16:32:14 2021	1627975934	0	773	773	773
Tue Aug 03 16:32:13 2021	1627975933	0	773	773	773
Tue Aug 03 16:32:09 2021	1627975929	0	773	774	773
Tue Aug 03 16:32:04 2021	1627975924	0	773	774	773
Tue Aug 03 16:32:09 2021	1627975929	0	774	774	773
Tue Aug 03 16:32:07 2021	1627975927	0	774	774	773
Tue Aug 03 16:32:11 2021	1627975931	0	774	774	773
Tue Aug 03 16:32:13 2021	1627975933	0	774	774	774
Tue Aug 03 16:32:02 2021	1627975922	0	774	774	773
Tue Aug 03 16:32:08 2021	1627975928	0	774	774	773
Tue Aug 03 16:32:08 2021	1627975928	0	774	774	774
Tue Aug 03 16:32:02 2021	1627975922	0	774	774	773
Tue Aug 03 16:32:13 2021	1627975933	0	774	774	774
Tue Aug 03 16:32:10 2021	1627975930	0	774	774	773
Tue Aug 03 16:32:02 2021	1627975922	0	774	774	773
Tue Aug 03 16:32:13 2021	1627975933	0	774	774	774
Tue Aug 03 16:32:02 2021	1627975922	0	774	774	773
Tue Aug 03 16:32:05 2021	1627975925	0	774	774	774
Tue Aug 03 16:32:03 2021	1627975923	0	774	774	774
Tue Aug 03 16:32:04 2021	1627975924	0	774	774	773
Tue Aug 03 16:32:12 2021	1627975932	0	774	774	774
Tue Aug 03 16:32:03 2021	1627975923	0	774	775	774
Tue Aug 03 16:32:00 2021	1627975920	0	774	775	774
Tue Aug 03 16:32:07 2021	1627975927	0	774	775	774
Tue Aug 03 16:32:06 2021	1627975926	0	774	775	773
Tue Aug 03 16:32:09 2021	1627975929	0	774	775	774
Tue Aug 03 16:32:13 2021	1627975933	0	775	775	774
Tue Aug 03 16:32:02 2021	1627975922	0	774	775	774
Tue Aug 03 16:32:08 2021	1627975928	0	775	775	774
Tue Aug 03 16:32:10 2021	1627975930	0	775	775	774
Tue Aug 03 16:32:08 2021	1627975928	0	775	775	775
Tue Aug 03 16:32:13 2021	1627975933	0	775	775	774
Tue Aug 03 16:32:13 2021	1627975933	0	775	775	775
Tue Aug 03 16:32:06 2021	1627975926	0	775	775	775
Tue Aug 03 16:32:11 2021	1627975931	0	775	775	774
Tue Aug 03 16:31:59 2021	1627975919	2	773	775	772
Tue Aug 03 16:32:05 2021	1627975925	0	775	775	775
Tue Aug 03 16:32:12 2021	1627975932	0	775	775	774
Tue Aug 03 16:32:02 2021	1627975922	0	775	775	775
Tue Aug 03 16:32:03 2021	1627975923	0	775	776	775
